Param_A,Param_B,N,Spearman_rho,p_hodnota,p_FDR
ELFO_S: alfa2_globulín,Haptoglobín_S,102,0.724,8.550227432489619e-18,1.0713924039172889e-16
Quickov test: PT_INR,Antitrombín III,122,-0.723,5.382270188407052e-21,7.68394663077528e-20
Albumín_S,T3f_S,224,0.72,3.912557478759647e-37,8.483439475276464e-36
CK-MB_S,HBDH_S,135,0.719,9.19543694173166e-23,1.3810546309886816e-21
Quickov test: PT_%,Antitrombín III,122,0.718,1.4313411340395725e-20,2.0252361301900678e-19
AST_S,HBDH_S,113,0.718,3.8110252760741605e-19,5.184463293126154e-18
Albumín_S,CVK_S,163,0.715,9.222323855008236e-27,1.5877892534110386e-25
Krvný obraz_RET: Hemoglobín_HGB,Krvný obraz_RET: Nezrelé formy RET,34,-0.712,2.3157628630141806e-06,1.3711129048209776e-05
Nátrium-S,Chloridy-S,6578,0.71,0.0,0.0
Krvný obraz_RET: Nezrelé formy RET,Krvný obraz_RET: Hematokrit_HCT,34,-0.707,2.989399171747959e-06,1.7552359462213295e-05
Albumín_S,Kalcium-S,1362,0.707,3.603691459768825e-207,3.634008229192277e-205
AST_S,ALT_S,8227,0.707,0.0,0.0
GF(S)- MDRD,Beta2 mikroglob. _S,74,-0.706,2.1320216929953047e-12,1.9977483503833588e-11
ABR_artéria: HCO3_B - akt.,ABR_artéria: PCO2_B,298,0.705,4.205055808167121e-46,1.0993711748677251e-44
GF-(S+U)-dospelí,GF(S)-Cockroft,74,0.701,3.4494608369922818e-12,3.213258753286212e-11
ELFO_S: Albumín,CVK_S,121,0.698,5.78112896705332e-19,7.748420322297413e-18
Prokalcitonín_S,Transferín_S,50,-0.697,1.8949848851054486e-08,1.3649477296003307e-07
CRP_S,Interleukín -6,331,0.696,3.6895965625404e-49,1.0371684496380162e-47
Addisov sediment: Leukocyty,Addisov sediment: Erytrocyty,64,0.696,1.6682668208049332e-10,1.3890562401800445e-09
Pomoc.TLy_CD4+_a.p,Cyt.TLy_CD8+_a.p,353,0.685,3.686916744779999e-50,1.0550892828642942e-48
Feritin_S,NVK_S,246,-0.685,1.9631292214417558e-35,4.062462522416767e-34
GF(S)- MDRD,Tub. resorbcia,75,0.685,1.1722735707056293e-11,1.0548801692199523e-10
Albumín_S,GF(S)-Cockroft,36,0.683,4.476529972306247e-06,2.5690510310805406e-05
Krvný obr._DIFF_5pop: Lymfocyty_%,Krvný obr._DIFF_5pop: Neutrofily_#,5473,-0.681,0.0,0.0
Lymfocyty,T Ly_CD3+_ a.p.,359,0.679,8.5474293049843e-50,2.4241883202930915e-48
Nátrium-S,ABR_artéria: HCO3_B - akt.,167,0.679,6.745216292745124e-24,1.0607019581141033e-22
Cholest-HDL_S,NVK_S,48,0.679,1.1236751530355831e-07,7.584884766352421e-07
Transferín_S,Cholinesteráza_S,97,0.676,2.9978569161852865e-14,3.0968105672398575e-13
