Param_A,Param_B,N,Spearman_rho,p_hodnota,p_FDR
CRP_S,Krvný obraz: Stred. far.konc._HGB,47,-0.146,0.327537494919072,0.5054276670441741
Krvný obraz: Stredný objem_RBC,Krvný obraz: Stred. far.konc._HGB,3776,0.146,1.891314052555775e-19,2.5951443144464016e-18
Krvný obr._DIFF_5pop: Eozinofily_#,Antitrombín III,81,0.146,0.19406582359660746,0.3474915945065522
Krvný obr._DIFF_5pop: Hematokrit_HCT,Krvný obr._DIFF_5pop: Stredný objem_PLT,5414,0.146,2.9718655330098913e-27,5.158541456615257e-26
Reumat. faktor_S,ELFO_S: gama_globulín,952,0.146,6.118994627024543e-06,3.4493321087388574e-05
Imunoblot ANA: Histones,Imunoblot ANA: PCNA,419,0.146,0.002771410914133649,0.009986825602660846
Feritin_S,AFP_S,57,-0.146,0.27890653157655193,0.45100896153283965
C3_S,Prokalcitonín_S,50,-0.146,0.3104493134011769,0.48650332709365485
ANA,Imunoblot Liver Pro: Sp100,152,0.145,0.07384854730595489,0.16387000385425476
AST_S,Krvný obraz: Stredný objem_RBC,30,0.145,0.44576983900805944,0.6252982528633698
ABR_kapilára: PCO2_B,ABR_kapilára: PO2_B,102,-0.145,0.14686036407923242,0.28230072405306006
Osmolalita_S,FE_Fosforu,42,0.145,0.35918895147544616,0.5388258344093293
"ELFO_S: beta1,2_globulín",Cholest-HDL_S,244,0.145,0.023395819955346824,0.06351865135740101
Kálium-S,Krvný obraz: Hemoglobín_HGB,50,0.145,0.3138308715600575,0.4902305205362787
Nátrium-S,Krvný obr._DIFF_5pop: Stredný objem_RBC,52,0.145,0.3035316915544246,0.4788582658431406
GMT_S,Fibrinogén,32,-0.145,0.42887725942587496,0.6100032940491031
Kálium-S,Fosfor_U (zbieraný),51,-0.145,0.310552028050708,0.4865214253561903
NKbb._ CD16+CD56+,B Ly_ CD19+,354,-0.145,0.006245423436297022,0.020452152108657206
Kálium-S,ABR_kapilára: BE_B,50,0.145,0.3152240123466557,0.49180209981294293
IgG_S,alfa1 AT_S,319,0.145,0.009756842233289268,0.03015282475144938
Kálium-S,Saturácia Trf,240,-0.145,0.02434323036524452,0.06555851738465385
CRP_S,ALP_S,5418,0.145,5.761628990999688e-27,9.946638309733972e-26
Albumín_S,LD_S,1242,-0.145,2.7286954415656093e-07,1.768918585741461e-06
Amyláza_S,CK-MB_S,539,0.145,0.000739863747499952,0.0030442709765979245
IgA_S,Močový sediment A: Hyalínové valce,39,0.144,0.38126355664497535,0.5619877901080113
IgA_S,Močový sediment A: Spermie,39,0.144,0.38126355664497535,0.5619877901080113
IgG_S,anti TPO_S,85,-0.144,0.1873222225195011,0.3384693059346958
TSH_S,Kalcium ionizované_S,46,0.144,0.33937339253989596,0.519027241888772
Kálium-S,ABR_kapilára: HCO3_B -  stand.,50,0.144,0.31872126804615847,0.4959187401168858
Chloridy-S,Parathormón_S,34,-0.144,0.4155849982030927,0.5972596689503232
Bili-celkový_S,T3f_S,76,-0.144,0.2139274358390838,0.37223638187959895
Imunoblot Liver Pro: Sp100,LC1,116,-0.144,0.12192497157809344,0.243965147853741
IgA_S,Triacylglyceroly_S,266,0.144,0.01907448567429125,0.0536653707227914
Imunoblot ANA: Ku,Imunoblot ANA: SmD1,418,0.144,0.0031449363356933244,0.011149431105278844
ELFO_S: Albumín,Moč chemický A: UBG,38,0.143,0.3904151713977402,0.5708809052045324
CA 19-9_S,CA 15-3_S,48,0.143,0.3321300857292383,0.5107776409193538
Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,Krvný obr._DIFF_5pop: Neutrofily_#,5469,0.143,1.9031694858213185e-26,3.215647804101818e-25
ELFO_S: alfa1_globulín,Prokalcitonín_S,85,0.143,0.19186232516090518,0.34441970945104
Glukóza_ S,ABR_artéria: BB_B,163,0.143,0.06854286953807756,0.1546901776822049
ELFO_S: alfa2_globulín,Kalcium ionizované_S,134,-0.143,0.09817833119493814,0.20612258363563846
IgA_S,Močový sediment A: Epitélie,39,-0.143,0.385847409367995,0.5669714674375683
Reumat. faktor_S,Feritin_S,144,0.143,0.08669615980315128,0.186954290792886
Krvný obr._DIFF_5pop: Monocyty_#,Krvný obr._DIFF_5pop: Eozinofily_#,5474,0.143,1.575607359496225e-26,2.6836014892438385e-25
CK-celková_S,Moč chemický A: UBG,45,0.143,0.3488625095011346,0.5297140351005517
ALP_S,Žlčové kyseliny,318,0.143,0.010924125514891633,0.03338189966142691
Imunoblot ANA: dsDNA,Imunoblot ANA: PM-Scl,419,0.143,0.003353653539086285,0.011810288765972931
Imunoblot ANA: U1-sn RNP,p-ANCA,274,-0.143,0.01789123786643012,0.050940845544622075
T Ly_CD3+,Lymfocyty,359,0.143,0.006590414128866903,0.02136168416361808
Bili-priamy_S,Troponín T hs,147,0.143,0.08461709192333017,0.18378396123894752
Krvný obr._DIFF_5pop: Monocyty_%,APTT: APTT_ratio,1491,0.142,3.2863586287206025e-08,2.3069874440068496e-07
Imunoblot ANA: PM-Scl,Imunoblot ANA: SS-A/Ro60kD,419,0.142,0.0035078422141494093,0.012278414097240328
Krvný obr._DIFF_5pop: Stredný objem_RBC,Factor V,45,-0.142,0.3528912560008438,0.5331392718403964
ALT_S,Laktát_P_artéria,52,-0.142,0.3153995254333194,0.4919181588091827
Quickov test: PT_%,Krvný obr._DIFF_RET: Trombocyty_PLT,106,0.142,0.14785181064985936,0.283434687102763
APTT: APTT_ratio,Krvný obr._DIFF_RET: Monocyty_%,103,0.142,0.15265854144238528,0.29019740089272106
Kalcium-S,Močový sediment A: Spermie,85,-0.142,0.19357805174011986,0.34700941385580736
Imunoblot ANA: Mi-2,Imunoblot ANA: SmD1,418,0.142,0.003589670028753607,0.01250969483964436
ALT_S,ELFO_S: gama_globulín,1235,0.142,4.952344732968667e-07,3.1336898494571654e-06
AFP_S,NSE_S,83,-0.142,0.19899613764954285,0.35408656485791495
Krvný obr._DIFF_RET: Erytrocyty_RBC,Krvný obr._DIFF_RET: Eozinofily_#,298,0.142,0.014194251145134354,0.04190338174955323
Kálium-S,FE_H2O,50,0.142,0.3243637102296444,0.5022380334118769
AST_S,Moč chemický A: UBG,139,0.142,0.09548677262500681,0.20133669647748698
Kalcium-S,Chloridy_U (zbieraný,50,0.142,0.32508243896588274,0.502824872118672
Kys. močová_S,HBDH_S,31,-0.141,0.45020770882105043,0.6290234383417932
GF(S)-Schwarz,FE_Horčíka,48,-0.141,0.3378513063555547,0.5173220894858613
Pomoc.TLy_CD4+_a.p,CCP,59,0.141,0.2884627063879863,0.4623116987091012
C4_S,Močový sediment A: Leukocyty,36,0.141,0.4121883858550779,0.5940637058387727
ELFO_S: alfa2_globulín,Moč chemický A: UBG,38,0.141,0.39852844781190255,0.5803005337953282
anti- transglut. IgA,ASCA IgG,69,-0.141,0.24725846166478752,0.4134859191777823
Moč chemicky _ úplne: Bielkoviny,Močový sediment: Erytrocyty,867,0.141,3.2205250359246234e-05,0.00016486700687533547
Cholest-HDL_S,Prealbumín_S,130,0.141,0.1105083960805531,0.22545274254969616
AST_S,ELFO_S: alfa2_globulín,1239,-0.141,6.310658766489959e-07,3.942145048526127e-06
IgM_S,C3_S,1047,-0.141,4.424704107409412e-06,2.5439045424771032e-05
Krvný obr._DIFF_5pop: Bazofily_%,Factor V,45,0.141,0.3550597296418728,0.5351575985110348
Quickov test: PT_%,Krvný obr._DIFF_RET: Bazofily_%,106,0.141,0.15066701742581434,0.2876202616646949
Quickov test: PT_%,Krvný obr._DIFF_RET: Eozinofily_%,105,0.141,0.1503506595487531,0.2874443996729547
ALT_S,Močový sediment A: Hlienové vlákna,142,-0.141,0.09416513788386374,0.19914484719580106
ASLO_S,Močový sediment A: Kryštály,44,0.141,0.3624219565439861,0.5429065526819014
Kreatinín_S,Albumín_S,5089,-0.141,5.2171365403631356e-24,8.224433856309429e-23
Bielkoviny_S,T4f_S,292,-0.141,0.016111319456759754,0.04669489621751584
IgA_S,Cholest-HDL_S,249,-0.141,0.026253151143061964,0.06999004163318198
Urea_S,Krvný obraz: Erytrocyty_RBC,49,-0.141,0.33367125263480424,0.5124035455617383
Kalcium-S,FE_ Nátria,50,0.14,0.3316239837727484,0.5103699537083988
Imunoblot ANA: Rib-PO,Imunoblot ANA: SmD1,418,0.14,0.004225460879488386,0.0145104610634539
GF(S)- MDRD,Bili-celkový_S,4249,-0.14,3.7540759947994317e-20,5.2648222505432205e-19
ALP_S,anti TG II,46,-0.14,0.35277678457330364,0.5331091608930062
Krvný obr._DIFF_5pop: Hematokrit_HCT,Krvný obr._DIFF_5pop: Bazofily_%,5476,0.14,2.313204858686149e-25,3.7875748626889444e-24
Močový sediment A: Hlienové vlákna,Močový sediment A: Kryštály,472,-0.14,0.0022487223773966242,0.008310723248167978
ELFO_S: alfa2_globulín,Moč chemický A: pH,39,-0.14,0.3959155980710286,0.5774223587110295
Imunoblot Liver Pro: LC1,SLA a LP,137,0.14,0.10256822828721396,0.21273782380302655
Chloridy-S,FE_ Nátria,50,-0.14,0.33308150810751846,0.5118690907128846
Krvný obraz: Stredný objem_PLT,APTT: APTT_ratio,1419,0.14,1.2977030734998542e-07,8.714912923831473e-07
Imunoblot ANA: Mi-2,Imunoblot ANA: PM-Scl,419,0.14,0.004170387273031967,0.014336834602582298
Moč chemicky _ úplne: Ketolátky,Prokalcitonín_S,53,-0.14,0.3178454085556827,0.4947983044729851
Bili-priamy_S,Lipáza_S,344,0.14,0.009416244889595676,0.02926683159667384
Foláty,AFP_S,37,-0.14,0.4075168811046015,0.5893363864460581
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Krvný obr._DIFF_5pop: Stredný objem_RBC,5478,0.139,3.4788322209941704e-25,5.68149642672904e-24
Krvný obr._DIFF_RET: Erytrocyty_RBC,Krvný obr._DIFF_RET: Leukocyty_WBC,299,0.139,0.016181309219862154,0.04687635999716565
ELFO_S: Albumín,Horčík-S,275,0.139,0.021515540291762583,0.059198019694052695
AST_S,Troponín T hs,205,0.139,0.04650662451434688,0.11324514585651428
Krvný obr._DIFF_RET: Stredná konc._HGB,Krvný obr._DIFF_RET: Retikulocyty_%,299,0.139,0.016507172822345113,0.04758880786033346
Moč chemicky _ úplne: Ketolátky,CIK_S,45,0.139,0.3626688945668082,0.5431483939610873
Bielkoviny_S,Fosfor_S,524,0.139,0.0013918521802732935,0.005359052667440142
Kálium-S,Cholest-celk._S,763,0.139,0.0001185513371403642,0.0005591363361935663
Krvný obr._DIFF_RET: Stredný objem_RBC,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,297,-0.139,0.01622471183813769,0.04695926847730694
Fibrinogén,Krvný obr._DIFF_RET: Neutrofily_%,104,0.139,0.16006054980247325,0.301203990786467
Imunoblot ANA: AMA-M2,Imunoblot ANA: Rib-PO,419,0.139,0.004425283279780261,0.015139377854843294
Bili-celkový_S,Lipáza_S,345,0.139,0.009843919916412792,0.030402733703923417
Albumín_S,CK-MB_S,253,-0.139,0.027453705433109116,0.07267224609022592
Krvný obr._DIFF_RET: Stred. far.konc._HGB,Krvný obr._DIFF_RET: Neutrofily_#,298,-0.139,0.01600473757897376,0.046428355177726165
Nátrium-S,Quickov test: PT_INR,44,0.138,0.37252683758029637,0.553058536300586
GF(S)-Shull,GF(S+U)-deti,49,0.138,0.34591985276269366,0.5258743298878662
Urea_S,Krvný obr._DIFF_5pop: Hematokrit_HCT,48,-0.138,0.3493461591815106,0.5300239636957775
Bielkoviny_S,Žlčové kyseliny,319,-0.138,0.013733808923109023,0.04075239985451267
ELFO_S: gama_globulín,Močový sediment A: Hlienové vlákna,39,-0.138,0.4004411399903729,0.5822848620642799
Imunoblot ANA: PM-Scl,ANA  HEp-2,217,0.138,0.04182107982772844,0.1035422136186901
Chloridy-S,Transferín_S,420,0.138,0.004553484820645036,0.01551946838281004
Kys. močová_S,Vitamin D total,67,0.138,0.26716710136919836,0.43835552556779883
Osmolalita_U (jednor,FE_Fosforu,42,0.138,0.38487181155610006,0.5657312861674928
Moč chemicky _ úplne: Ketolátky,C4_S,165,0.138,0.0763899016363987,0.16850869621390308
Krvný obraz: Erytrocyty_RBC,Krvný obraz: Stredný objem_PLT,3655,-0.138,4.214028287444938e-17,5.118876044003383e-16
Kreatinín_S,Bili-celkový_S,4335,0.138,8.823682536289201e-20,1.2212822473430346e-18
ALP_S,Močový sediment A: Hlienové vlákna,110,-0.138,0.15039778510758928,0.28744799301700197
ELFO_S: alfa2_globulín,alfa1 AT_S,320,0.138,0.013295155414677339,0.039635909126909966
Horčík-S,T4f_S,180,-0.138,0.06438533641734923,0.14718965176661375
Moč chemicky _ úplne: Bielkoviny,Fosfor_S,112,-0.138,0.1463477196861887,0.28181476271535455
Kalcium-S,Močový sediment: Valce,32,-0.138,0.45286940397614384,0.6310768421716257
Nátrium-S,ELFO_S: gama_globulín,601,-0.137,0.0007545087943265468,0.003096507991186403
Krvný obr._DIFF_5pop: Hematokrit_HCT,Krvný obr._DIFF_5pop: Stredný objem_RBC,5478,0.137,2.6174935476227874e-24,4.178124750765721e-23
ALT_S,Amyláza_U (jednoráz),75,-0.137,0.24154540527688287,0.40644618414125877
Chloridy-S,CK-celková_S,1099,0.137,5.544452491242877e-06,3.142186144234255e-05
Fosfor_U (zbieraný),GF(S)-Schwarz,48,-0.137,0.35167010031371426,0.5316897066380358
ELFO_S: Albumín,ELFO_S: gama_globulín,1604,-0.137,3.488638253162159e-08,2.4435853166856884e-07
ALT_S,C3_S,941,0.137,2.4718272221300185e-05,0.00012819198646687354
ALT_S,APTT: APTT_sekundy,39,0.137,0.40663279552212106,0.5887279284302723
Kys. močová_S,Močový sediment A: Baktérie,67,-0.137,0.26937975806732745,0.4409609902091552
Moč chemicky _ úplne: Bielkoviny,CK-MB_S,60,0.137,0.29832285366788736,0.47274759025993723
Imunoblot ANA: CENP-B,LC1,112,0.137,0.15065430310550781,0.2876202616646949
Quickov test: PT_INR,Krvný obr._DIFF_RET: Trombocyty_PLT,106,-0.137,0.16004394159706198,0.301203990786467
Chloridy-S,IgG_S,545,-0.137,0.0013777447296829894,0.0053143972481335955
AST_S,CIK_S,171,0.137,0.07397216775528348,0.16402973184967398
ALP_S,Albumín_S,4583,-0.137,1.4811792252337196e-20,2.0910959150910713e-19
ALT_S,Fosfor_S,634,-0.137,0.0005522337597067195,0.002337335826393597
APTT: APTT_sekundy,Krvný obr._DIFF_RET: Retikulocyty_%,104,-0.136,0.1673001207601623,0.31214615776484905
IgG_S,Saturácia Trf,238,0.136,0.03585608806581385,0.09108105856941838
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Krvný obr._DIFF_5pop: Neutrofily_#,5473,-0.136,5.1140033012094606e-24,8.081906212085498e-23
GMT_S,T4f_S,304,0.136,0.017830829764880908,0.05079787511044324
Imunoblot ANA: Ku,DNP / Nucleo-h /,97,-0.136,0.18376483927700651,0.3340366305942267
T Ly_CD3+,Leukocyty,359,-0.136,0.010124632326159741,0.031163657542680637
Imunoblot ANA: SS-A/Ro60kD,Imunoblot ANA: PCNA,419,0.136,0.005429380485259377,0.018106485156353186
Urea_S,Krvný obr._DIFF_5pop: Stredný objem_RBC,48,0.136,0.3559034675788526,0.5357949596038982
Bielkoviny_S,LD_S,1062,-0.136,8.361489624457242e-06,4.643404159456019e-05
Kálium-S,Cholest-LDL_S,454,0.136,0.003724850598412843,0.012924072010768319
Krvný obraz_RET: Erytrocyty_RBC,Krvný obraz_RET: Stred. far.konc._HGB,34,-0.136,0.44376841986279414,0.6233165534796222
Urea_S,Etanol v sére,155,-0.136,0.09259792925920624,0.19658689225988463
Imunoreg.index_IRI,CCP,59,0.136,0.30390246648130087,0.4788582658431406
Krvný obr._DIFF_RET: Hematokrit_HCT,Krvný obr._DIFF_RET: Lymfocyty_%,298,0.136,0.019260022031005887,0.054045459347606184
Chloridy-S,Addisov sediment: Erytrocyty,46,0.136,0.3672581319107403,0.5473119662277582
C3_S,Močový sediment A: Kvasinky,35,0.136,0.4362757721043209,0.616097884033789
Transferín_S,Žlčové kyseliny,179,0.136,0.07003417173613447,0.15716251961839006
CRP_S,Moč chemicky _ úplne: Ketolátky,684,0.136,0.00035015148815636807,0.0015341464856947632
Krvný obr._DIFF_5pop: Stred.far.konc._HGB,D_dimer INOV,208,-0.136,0.05032235249382508,0.12091448766765156
LD_S,Močový sediment A: Leukocyty,32,-0.136,0.45757099358188347,0.6345663659082528
CRP_S,Glukóza_ S,5027,0.135,5.710314859412044e-22,8.339685126860855e-21
dsDNA IgG,Imunoblot Liver Pro: AMA-M2,41,0.135,0.39947044008106336,0.5812724933199716
Chloridy-S,Moč chemický A: pH,128,-0.135,0.12794367819887684,0.25353280960619606
APTT: APTT_ratio,Krvný obr._DIFF_RET: Retikulocyty_#,104,-0.135,0.17201715258234282,0.3183294408259901
Triacylglyceroly_S,Troponín T hs,40,0.135,0.4060371399039582,0.5881335954878811
Nátrium-S,NT-proBNP,207,-0.135,0.05183975385723366,0.12362535895458163
GF(S)- MDRD,Bili-priamy_S,4218,-0.135,1.0778636957342216e-18,1.4177366581779523e-17
ASLO_S,Saturácia Trf,66,0.135,0.28067508997467255,0.45303070289865216
ASLO_S,Beta2 mikroglob. _S,101,-0.135,0.17920520765317868,0.3280007733277569
ALT_S,Krvný obr._DIFF_5pop: Stredná konc._HGB,38,0.135,0.41870912102134317,0.5999231046117711
LD_S,Horčík-S,191,0.135,0.06286382620099408,0.14464827521003817
ABR_kapilára: HCO3_B - akt.,ABR_kapilára: O2_B sat,102,-0.135,0.17559822873602518,0.3229011685830938
Imunoblot ANA: Nucleosomes,Imunoblot ANA: Rib-PO,419,0.135,0.005795027601616377,0.01914498718308312
GMT_S,C3_S,865,0.135,6.614358597572819e-05,0.0003241740848819597
Imunoblot Liver Pro: LC1,DNP / Nucleo-h /,31,0.135,0.4702592725408812,0.6448429005940467
Aktiv.TLy_CD3+HLADR+,CCP,59,0.135,0.30826677887819204,0.4835602089415195
LD_S,Močový sediment A: Kryštály,30,-0.135,0.47795329314495383,0.6515959809763716
Imunoblot ANA: dsDNA,p-ANCA,274,0.135,0.02568792885357115,0.068742802024742
Krvný obr._DIFF_5pop: Hemoglobín_HGB,Krvný obr._DIFF_5pop: Stredný objem_PLT,5414,0.135,1.4231466863968108e-23,2.215992867323269e-22
Glukóza_ S,ABR_artéria: PO2_B,163,0.135,0.08581662276816131,0.18569244020644715
Lipáza_S,Interleukín -6,61,0.135,0.3010397943562483,0.47622156711784
Horčík-S,FE_ Nátria,50,0.135,0.3491021406898539,0.5299512305382656
Urea_S,Amoniak_P,98,0.135,0.18535487018124316,0.33592907090708646
Kreatinín_S,Bili-priamy_S,4302,0.135,5.300722443416027e-19,7.149785495333763e-18
Kreatinín_S,Krvný obr._DIFF_5pop: Monocyty_#,48,-0.134,0.36441051470322494,0.5446012702680753
Horčík_U (zbieraný),GF(S)-Shull,48,0.134,0.36301857739277377,0.5431750775382999
TSH_S,T3f_S,431,0.134,0.0052765308595623655,0.017680274552109552
Albumín_S,Močový sediment A: Spermie,107,-0.134,0.16750791237884188,0.3123503866576996
ANA,Imunoblot ANA: CENP-B,341,0.134,0.01326496177120214,0.03956446109504563
Bili-priamy_S,Cholest-HDL_S,637,-0.134,0.0006796516949386226,0.0028239550150065858
Nátrium-S,IgA_S,665,-0.134,0.0005142490470871642,0.002192633688687754
Nátrium-S,Glukóza_ S,5180,-0.134,3.1179785704427148e-22,4.61737013007519e-21
Kys. močová_S,Moč chemický A: UBG,66,0.134,0.2823607415142886,0.4550577856012875
ELFO_S: gama_globulín,T3f_S,101,-0.134,0.18117767128133458,0.33075337518687314
Addisov sediment: Erytrocyty,GF(S)-Schwarz,36,0.134,0.4364310734423896,0.616097884033789
Chloridy-S,T3f_S,153,0.134,0.09971116673964964,0.20871994803854832
Imunoblot ANA: PCNA,LC1,112,0.134,0.15929537564768612,0.3001196682947064
Osmolalita_S,GF(S)-Shull,41,-0.133,0.4067827073372251,0.5888107859907475
ANA,Imunoblot ANA: Nucleosomes,341,0.133,0.013632562402443048,0.04052768785340229
Moč chemický A: Špec. hmotnosť,Močový sediment A: Erytrocyty,472,0.133,0.0037181176386830972,0.01290776030522061
Imunoblot ANA: U1-sn RNP,Imunoblot ANA: CENP-B,419,0.133,0.006533422146477121,0.02120941793386262
Kys. močová_S,Močový sediment A: Spermie,67,0.133,0.2830553034149156,0.45583025160835455
Chloridy_U (zbieraný,GF(S)-Shull,48,-0.133,0.36786957023672884,0.5479660913748976
Prokalcitonín_S,Amoniak_B,108,0.133,0.1694977673160755,0.3151358840383458
Fosfor_S,FE_H2O,50,-0.133,0.3554399928269434,0.5352240517728304
Krvný obr._DIFF_5pop: Stredný objem_PLT,Quickov test: PT_%,1534,-0.133,1.8660615844663093e-07,1.227234911606052e-06
ALP_S,Močový sediment A: Baktérie,108,0.133,0.16960960977704237,0.31515935972902903
CRP_S,Močový sediment A: Epitélie,146,-0.133,0.10899422585735248,0.22322382877877509
Imunoblot ANA: CENP-B,Imunoblot Liver Pro: SLA,164,0.133,0.08991152991512294,0.19258528305825218
Moč chemický A: pH,Moč chemický A: UBG,479,-0.133,0.003617907516831921,0.012601187749141006
ALT_S,anti TG_S,79,0.133,0.24266020763639495,0.4076203858048697
Amyláza_S,T4f_S,50,-0.133,0.3573888436277517,0.5371401285940636
Moč chemicky _ úplne: pH,HbA1c,37,0.133,0.432307941125172,0.6125005240785499
Kreatinín_UJ (jednor,Albumín_U (jednoráz),57,-0.133,0.3223819071907911,0.5005113041014408
Reumat. faktor_S,Horčík-S,266,0.133,0.029665850114168796,0.07765436579122964
Nátrium-S,Tub. resorbcia,86,0.133,0.22315103421824653,0.3844030695196638
Quickov test: PT_INR,Krvný obr._DIFF_RET: Eozinofily_%,105,-0.133,0.17606334833079607,0.32339547180914496
Kálium_U (zbieraný),Addisov sediment: Leukocyty,37,0.133,0.43200044249602976,0.6123379766125117
ALP_S,Reumat. faktor_S,1377,-0.133,6.813807876439959e-07,4.243933474414026e-06
ELFO_S: Albumín,T4f_S,131,-0.133,0.1293862333928255,0.25543528301573043
Fibrinogén,Krvný obr._DIFF_RET: Erytrocyty_RBC,105,0.132,0.1785094799490999,0.3269157469347454
Glukóza_ S,Cholest-HDL_S,697,-0.132,0.00048092281238328337,0.0020616077105742236
ELFO_S: alfa2_globulín,Prealbumín_S,163,-0.132,0.09264617588951592,0.19658689225988463
Bili-priamy_S,Močový sediment A: Spermie,92,-0.132,0.2097438249686238,0.366777462159556
ANA,Imunoblot ANA: Mi-2,341,0.132,0.014980317954724941,0.043836923061431395
Diff.rozpočet_ WBC: Lymfocyty,Diff.rozpočet_ WBC: Bazofily,39,0.132,0.4243608381717112,0.6054792154490619
Imunoblot ANA: SmD1,Imunoblot Liver Pro: LKM1,163,0.132,0.09385505199222124,0.19868748594021376
AST_S,Krvný obr._DIFF_5pop: Erytrocyty_RBC,38,-0.132,0.42875984500036535,0.6100032940491031
Krvný obraz: Hemoglobín_HGB,Krvný obraz: Stredná konc._ HGB,3776,0.132,4.863472183148947e-16,5.55712927689663e-15
AST_S,AFP_S,82,0.132,0.23596202677237063,0.4000711919094931
Kalcium-S,anti TPO_S,109,-0.132,0.17198521424580787,0.3183294408259901
ELFO_S: gama_globulín,CK-MB_S,48,-0.132,0.37050015472762576,0.5507223872214803
Moč chemicky _ úplne: pH,LD_S,146,0.132,0.11205835043390443,0.22773726817229523
Krvný obraz: Stred. far.konc._HGB,Fibrinogén,1450,-0.132,4.608827137285732e-07,2.9250628175001254e-06
CRP_S,Osmolalita_S,67,-0.132,0.2877927411006293,0.4615872972007821
Bili-celkový_S,Moč chemicky _ úplne: Bielkoviny,485,0.132,0.0035663189772761434,0.012441968403424129
Fibrinogén,Krvný obr._DIFF_RET: Monocyty_%,104,-0.132,0.1809043551461422,0.33048192012377337
Bielkoviny_S,Kreatinín_U (zbier.),40,0.131,0.419169851604424,0.6004029103623024
Bielkoviny_S,AFP_S,83,-0.131,0.23629731113078153,0.4004259316121246
Krvný obr._DIFF_5pop: Bazofily_%,Fibrinogén,1499,-0.131,3.500971888319868e-07,2.2375197281845356e-06
Krvný obr._DIFF_RET: Hemoglobín_HGB,Krvný obr._DIFF_RET: Monocyty_#,298,-0.131,0.023348516709383784,0.06347159891087513
dsDNA IgG,Imunoblot Liver Pro: gp210,41,0.131,0.41456738245146274,0.5961400137424497
Moč chemicky _ úplne: pH,Prokalcitonín_S,53,-0.131,0.3507129940882573,0.531254089519003
Krvný obraz: Stredný objem_PLT,APTT: APTT_sekundy,1419,0.131,7.687197991913022e-07,4.769215707287444e-06
Lupus antikoagulans1,ProC Global,30,-0.131,0.4892617011669025,0.6606332810867868
Nátrium-S,GF(S+U)-deti,48,-0.131,0.3764197186628937,0.5567856746601545
Urea_S,Močový sediment A: Epitélie,155,-0.131,0.10552891060645005,0.21767050944246014
Moč chemicky _ úplne: pH,Reumat. faktor_S,217,0.131,0.05401628140598689,0.12809460088549263
Krvný obraz: Hemoglobín_HGB,Krvný obraz: Trombocyty_PLT,3776,0.131,7.665213648344646e-16,8.68041039357104e-15
ALT_S,Moč chemicky _ úplne: Ketolátky,728,0.131,0.00040373960971769443,0.0017508243962706571
Kálium-S,IGG4,40,0.131,0.42114280684860794,0.602052261905762
T Ly_CD3+_ a.p.,Pomoc.TLy_CD4+,355,0.131,0.013193859018294427,0.039370871931998355
Triacylglyceroly_S,Ceruloplazmín,110,0.131,0.17174945238957312,0.31808407868079314
Krvný obr._DIFF_5pop: Eozinofily_#,Diff.rozpočet_ WBC: Neutrofilné segmenty,206,-0.131,0.05984360959218805,0.13916048745943288
Krvný obr._DIFF_5pop: Monocyty_%,Fibrinogén,1498,-0.131,3.774537035215513e-07,2.4075937534863605e-06
Kreatinín_S,IgG_S,1280,0.131,2.655379985830689e-06,1.5649006539872328e-05
Nátrium-S,IGG4,40,-0.131,0.41923300965955823,0.6004029103623024
Kys. močová_S,TSH_S,278,0.131,0.02918561674229459,0.07655500543509394
CRP_S,ABR_artéria: pH_B,101,-0.131,0.1901695494781169,0.34215438907801665
GF(S)- MDRD,ASLO_S,455,0.131,0.005039873314524546,0.01699485943055968
Chloridy-S,Krvný obr._DIFF_5pop: Neutrofily_%,52,-0.13,0.3565879977958787,0.5364441273969257
Kreatinín_S,Močový sediment: Valce,63,0.13,0.30891720748413254,0.4843413176571308
Bielkoviny_S,GF-rozdiel,35,0.13,0.45723449588606835,0.6345152364273028
ALT_S,Quickov test: PT_INR,39,0.13,0.4308374122673285,0.6115113938667133
AST_S,IgA_S,1319,0.13,2.15982930767593e-06,1.2847748681334441e-05
Amyláza_S,Moč chemický A: Špec. hmotnosť,46,0.13,0.3900238790625207,0.5708809052045324
Lymfocyty,Cyt.TLy_CD8+,354,0.13,0.014370903115259733,0.04227457305726343
Bielkoviny_S,anti TPO_S,111,-0.13,0.17544993718636856,0.32280776696752483
Quickov test: PT_INR,Krvný obr._DIFF_RET: Stredná konc._HGB,106,-0.13,0.18358947713730495,0.3338133795802228
Železo_S,C4_S,187,-0.13,0.07717499096470302,0.1699454827032091
IgE celkové FOOKE,anti- transglut. IgG,72,-0.13,0.27483713353206696,0.4470149281436819
GF(S)- MDRD,Krvný obr._DIFF_5pop: Stredná konc._HGB,41,-0.13,0.4182848070215135,0.5994503449148827
Krvný obr._DIFF_RET: Bazofily_%,Krvný obr._DIFF_RET: Stredný objem_PLT,274,0.13,0.03197705710325159,0.08298621069320153
Nátrium-S,Quickov test: PT_%,44,-0.13,0.4007149611598535,0.5824828159069146
IgM_S,Močový sediment A: Hyalínové valce,39,0.13,0.4311285271728331,0.6115113938667133
IgM_S,Močový sediment A: Spermie,39,0.13,0.4311285271728331,0.6115113938667133
