Marker,Genotyp,Lab_parameter,N,Median,Q1,Q3,Priemer,SD
HFE_H63D,hom,Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,35,13.1,12.8,13.4,13.534,1.552
HFE_H63D,wt,Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,927,14.7,13.45,16.5,15.219,2.308
HFE_H63D,het,Krvný obr._DIFF_5pop: Neutrofily_%,335,68.0,58.35,78.65,68.531,13.086
HFE_H63D,hom,Krvný obr._DIFF_5pop: Neutrofily_%,35,63.0,56.55,69.65,62.829,12.961
HFE_H63D,wt,Krvný obr._DIFF_5pop: Neutrofily_%,925,68.2,59.2,76.4,67.971,12.613
HFE_H63D,het,Krvný obr._DIFF_5pop: Neutrofily_#,335,4.39,3.155,7.34,6.502,5.973
HFE_H63D,hom,Krvný obr._DIFF_5pop: Neutrofily_#,35,3.86,2.955,6.345,4.594,2.619
HFE_H63D,wt,Krvný obr._DIFF_5pop: Neutrofily_#,925,4.58,3.3,6.82,5.819,4.152
HFE_H63D,het,Krvný obr._DIFF_5pop: Stredný objem_PLT,331,10.7,10.1,11.35,10.753,0.981
HFE_H63D,hom,Krvný obr._DIFF_5pop: Stredný objem_PLT,35,10.7,10.1,11.35,10.711,0.87
HFE_H63D,wt,Krvný obr._DIFF_5pop: Stredný objem_PLT,898,10.9,10.125,11.7,10.979,1.284
HFE_H63D,het,Bielkoviny_S,434,69.45,62.0,75.175,68.379,9.524
HFE_H63D,hom,Bielkoviny_S,23,75.7,72.65,78.55,74.739,6.442
HFE_H63D,wt,Bielkoviny_S,1309,69.6,62.3,75.3,68.641,9.514
HFE_H63D,het,Bili-celkový_S,695,23.7,11.7,65.1,70.984,114.605
HFE_H63D,hom,Bili-celkový_S,46,11.3,9.125,17.25,14.209,8.644
HFE_H63D,wt,Bili-celkový_S,2061,25.4,11.5,79.8,74.044,113.376
HFE_H63D,het,Bili-priamy_S,684,9.9,3.7,40.1,50.209,94.591
HFE_H63D,hom,Bili-priamy_S,46,4.1,3.125,6.625,6.159,6.578
HFE_H63D,wt,Bili-priamy_S,2042,11.8,3.7,56.575,52.767,92.696
HFE_H63D,het,Krvný obraz: Hemoglobín_HGB,461,116.0,98.0,139.0,118.562,25.312
HFE_H63D,hom,Krvný obraz: Hemoglobín_HGB,5,121.0,118.0,148.0,129.2,23.296
HFE_H63D,wt,Krvný obraz: Hemoglobín_HGB,1482,115.0,97.0,134.0,115.803,23.592
HFE_H63D,het,Krvný obraz: Stredný objem_RBC,461,95.4,92.0,100.0,96.148,7.763
HFE_H63D,hom,Krvný obraz: Stredný objem_RBC,5,101.6,97.6,102.6,99.12,6.293
HFE_H63D,wt,Krvný obraz: Stredný objem_RBC,1482,93.7,88.8,100.8,95.151,9.807
HFE_H63D,het,Krvný obraz: Stredná konc._ HGB,461,31.9,30.5,33.9,32.202,2.938
HFE_H63D,hom,Krvný obraz: Stredná konc._ HGB,5,34.3,31.8,34.7,33.42,1.956
HFE_H63D,wt,Krvný obraz: Stredná konc._ HGB,1482,31.2,29.5,33.675,31.531,3.785
HFE_H63D,het,Krvný obraz: Leukocyty_WBC,461,7.1,5.3,9.9,8.525,6.523
HFE_H63D,hom,Krvný obraz: Leukocyty_WBC,5,7.8,6.2,7.9,8.44,3.828
HFE_H63D,wt,Krvný obraz: Leukocyty_WBC,1482,7.2,5.525,9.8,8.186,4.065
HFE_H63D,het,Krvný obraz: Trombocyty_PLT,461,160.0,103.0,227.0,176.852,103.308
HFE_H63D,hom,Krvný obraz: Trombocyty_PLT,5,185.0,109.0,202.0,158.2,56.681
HFE_H63D,wt,Krvný obraz: Trombocyty_PLT,1482,181.0,118.0,258.0,197.67,110.04
HFE_H63D,het,Krvný obraz: Erytrocyty_RBC,461,3.74,3.01,4.41,3.718,0.875
HFE_H63D,hom,Krvný obraz: Erytrocyty_RBC,5,3.8,3.4,4.6,3.888,0.813
HFE_H63D,wt,Krvný obraz: Erytrocyty_RBC,1482,3.72,3.08,4.348,3.717,0.825
HFE_H63D,het,Krvný obraz: Hematokrit_HCT,461,0.353,0.296,0.413,0.354,0.072
HFE_H63D,hom,Krvný obraz: Hematokrit_HCT,5,0.386,0.349,0.426,0.382,0.06
HFE_H63D,wt,Krvný obraz: Hematokrit_HCT,1482,0.352,0.3,0.399,0.349,0.067
HFE_H63D,het,Krvný obraz: Stred. far.konc._HGB,461,335.0,326.0,344.0,334.937,14.983
HFE_H63D,hom,Krvný obraz: Stred. far.konc._HGB,5,338.0,338.0,347.0,337.6,15.01
HFE_H63D,wt,Krvný obraz: Stred. far.konc._HGB,1482,332.0,322.0,341.0,331.053,15.722
HFE_H63D,het,Krvný obraz: Šírka dist.kriv._RBC,454,14.85,13.4,17.3,15.714,2.996
HFE_H63D,hom,Krvný obraz: Šírka dist.kriv._RBC,5,16.0,13.2,17.1,15.4,2.242
HFE_H63D,wt,Krvný obraz: Šírka dist.kriv._RBC,1480,15.3,13.7,16.8,15.62,2.412
HFE_H63D,het,Krvný obraz: Stredný objem_PLT,449,10.9,10.3,11.5,10.947,1.004
HFE_H63D,hom,Krvný obraz: Stredný objem_PLT,5,10.6,9.3,11.3,10.48,1.228
HFE_H63D,wt,Krvný obraz: Stredný objem_PLT,1383,11.0,10.3,11.7,11.062,1.026
HFE_H63D,het,Quickov test: PT_%,493,72.2,52.5,93.3,74.68,28.018
HFE_H63D,hom,Quickov test: PT_%,26,80.4,31.725,96.575,67.146,34.081
HFE_H63D,wt,Quickov test: PT_%,1543,73.0,54.35,95.8,74.74,26.566
HFE_H63D,het,Quickov test: PT_INR,493,1.18,1.03,1.44,1.277,0.373
HFE_H63D,hom,Quickov test: PT_INR,26,1.11,1.012,2.062,1.548,0.734
HFE_H63D,wt,Quickov test: PT_INR,1543,1.17,1.02,1.39,1.272,0.399
HFE_H63D,het,APTT: APTT_sekundy,486,30.2,26.425,34.8,31.373,6.461
HFE_H63D,hom,APTT: APTT_sekundy,16,26.6,25.475,29.4,28.244,3.844
HFE_H63D,wt,APTT: APTT_sekundy,1505,29.3,26.1,33.5,30.435,7.916
HFE_H63D,het,APTT: APTT_ratio,486,1.1,0.99,1.29,1.161,0.241
HFE_H63D,hom,APTT: APTT_ratio,16,1.01,0.98,1.125,1.077,0.144
HFE_H63D,wt,APTT: APTT_ratio,1504,1.08,0.97,1.22,1.113,0.246
HFE_H63D,het,Fibrinogén,480,2.83,1.995,4.0,3.167,1.604
HFE_H63D,hom,Fibrinogén,16,3.335,3.02,3.948,3.511,0.757
HFE_H63D,wt,Fibrinogén,1476,2.81,2.0,3.81,3.078,1.468
HFE_H63D,het,Kalcium-S,233,2.15,2.0,2.27,2.14,0.209
HFE_H63D,hom,Kalcium-S,20,2.275,2.198,2.422,2.296,0.143
HFE_H63D,wt,Kalcium-S,813,2.15,2.02,2.28,2.138,0.201
HFE_H63D,het,Amyláza_S,232,0.915,0.63,1.392,1.116,0.852
HFE_H63D,hom,Amyláza_S,14,0.605,0.345,1.248,0.837,0.539
HFE_H63D,wt,Amyláza_S,765,0.82,0.56,1.2,1.481,3.505
