Marker,Lab_parameter,Test,Statistika,p_hodnota,n_het,n_hom,n_wt,median_het,median_hom,median_wt,p_FDR,Vyznamne_FDR,n_all_wt,n_any_het,n_any_hom,median_all_wt,median_any_het,median_any_hom
HFE_S65C,CEA _S,Mann-Whitney U,128.0,0.16921164394905297,6.0,,65.0,1.564,,2.223,0.38593574213333537,False,,,,,,
HFE_overall,dsDNA IgG,Mann-Whitney U,455.5,0.15683783915983074,,,,,,,0.3938111938030651,False,41.0,18.0,,3.53,2.61,
HFE_overall,Kreatinín_UJ (jednor,Mann-Whitney U,109.0,0.15723058857062674,,,,,,,0.3938111938030651,False,18.0,9.0,,9055.0,6380.0,
HFE_C282Y,Transferín_S,Mann-Whitney U,9446.0,0.1491243608683153,35.0,,471.0,2.6,,2.4,0.3966952458178335,False,,,,,,
HFE_C282Y,Glykémia_5/4,Mann-Whitney U,507.0,0.16322356468546273,10.0,,138.0,5.55,,8.7,0.3966952458178335,False,,,,,,
HFE_C282Y,Močový sediment A: Baktérie,Mann-Whitney U,270.0,0.15934292371630776,7.0,,58.0,516.0,,273.0,0.3966952458178335,False,,,,,,
HFE_C282Y,LKM1,Mann-Whitney U,659.0,0.1568220746478287,9.0,,114.0,0.74,,0.35,0.3966952458178335,False,,,,,,
HFE_C282Y,NT-proBNP,Mann-Whitney U,278.0,0.15717546209096467,6.0,,141.0,428.5,,1285.0,0.3966952458178335,False,,,,,,
HFE_C282Y,IgA_S,Mann-Whitney U,4447.5,0.1562824060751635,25.0,,428.0,2.21,,2.81,0.3966952458178335,False,,,,,,
HFE_C282Y,ELFO_S: Albumín,Mann-Whitney U,7563.5,0.15080643833642915,29.0,,450.0,39.25,,37.5,0.3966952458178335,False,,,,,,
HFE_C282Y,Cholest-HDL_S,Mann-Whitney U,6946.5,0.1621269076289138,36.0,,338.0,1.27,,1.16,0.3966952458178335,False,,,,,,
HFE_C282Y,Cholest-LDL_S,Mann-Whitney U,6777.5,0.15194389305890058,34.0,,347.0,3.0,,2.83,0.3966952458178335,False,,,,,,
HFE_C282Y,Bielkoviny_S,Kruskal-Wallis,3.81,0.1487913991679375,124.0,21.0,1621.0,70.1,73.2,69.6,0.3966952458178335,False,,,,,,
HFE_S65C,Krvný obr._DIFF_5pop: Monocyty_#,Mann-Whitney U,25965.0,0.17883673655117271,47.0,,1249.0,0.53,,0.58,0.3987496784077923,False,,,,,,
HFE_S65C,Glukóza_ S,Mann-Whitney U,153443.5,0.18072827150856774,131.0,,2517.0,5.41,,5.49,0.3987496784077923,False,,,,,,
HFE_H63D,Vitamín B12,Kruskal-Wallis,4.037,0.13283830718891385,67.0,6.0,224.0,697.0,393.5,664.0,0.4190732310126449,False,,,,,,
HFE_H63D,IgM_S,Kruskal-Wallis,4.068,0.13081704015476475,110.0,11.0,353.0,1.245,0.55,1.1,0.4190732310126449,False,,,,,,
HFE_H63D,Chloridy-S,Kruskal-Wallis,4.057,0.13153036541993363,614.0,35.0,2045.0,103.0,103.0,103.0,0.4190732310126449,False,,,,,,
HFE_overall,Močový sediment A: Kvasinky,Mann-Whitney U,514.5,0.1691080815334115,,,,,,,0.4196385726940211,False,40.0,28.0,,0.0,0.0,
HFE_overall,"ELFO_S: beta1,2_globulín",Kruskal-Wallis,3.533,0.1709608825240491,,,,,,,0.42034418822426745,False,305.0,156.0,13.0,8.97,8.69,7.01
HFE_S65C,Meď_S,Mann-Whitney U,1784.0,0.1995854894567689,11.0,,264.0,19.9,,17.87,0.4268058928383212,False,,,,,,
HFE_S65C,Reumat. faktor_S,Mann-Whitney U,554.0,0.19666799555466064,5.0,,172.0,10.0,,10.0,0.4268058928383212,False,,,,,,
HFE_H63D,ABR_artéria: PO2_B,Mann-Whitney U,1902.0,0.13760580880078763,35.0,,130.0,9.83,,10.975,0.4290063450848085,False,,,,,,
HFE_C282Y,Imunoblot Liver Pro: Sp100,Mann-Whitney U,811.0,0.18178914033563898,11.0,,138.0,0.0,,0.0,0.4309075919066998,False,,,,,,
HFE_C282Y,Haptoglobín_S,Mann-Whitney U,428.5,0.18163095186572453,9.0,,130.0,0.67,,0.99,0.4309075919066998,False,,,,,,
HFE_overall,Krvný obr._DIFF_5pop: Erytrocyty_RBC,Kruskal-Wallis,3.44,0.17909981464847738,,,,,,,0.4324211741062337,False,787.0,461.0,49.0,3.92,3.92,4.24
HFE_overall,Krvný obr._DIFF_RET: Šírka dist.kriv._RBC,Kruskal-Wallis,3.456,0.17762982209834544,,,,,,,0.4324211741062337,False,103.0,39.0,5.0,14.5,14.9,13.8
HFE_H63D,Krvný obr._DIFF_RET: Hematokrit_HCT,Mann-Whitney U,1949.0,0.1405173032785469,28.0,,118.0,0.369,,0.35,0.4325189337380482,False,,,,,,
HFE_H63D,Imunoblot ANA: CENP-B,Mann-Whitney U,2793.0,0.1419967820196611,42.0,,140.0,0.0,,0.0,0.4325189337380482,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Erytrocyty_RBC,Kruskal-Wallis,3.872,0.14426603678706112,335.0,35.0,927.0,3.8,3.92,3.97,0.4344374971428545,False,,,,,,
HFE_H63D,Imunoblot Liver Pro: gp210,Mann-Whitney U,2168.5,0.14985633212344693,33.0,,114.0,0.23,,0.0,0.4423401730931816,False,,,,,,
HFE_H63D,anti TPO_S,Mann-Whitney U,82.0,0.15022873803164657,7.0,,36.0,28.0,,42.775,0.4423401730931816,False,,,,,,
HFE_H63D,CA 72-4_S,Mann-Whitney U,99.0,0.15240314750023679,5.0,,28.0,1.97,,1.25,0.4438113635995906,False,,,,,,
HFE_H63D,Ceruloplazmín,Mann-Whitney U,13626.5,0.15443107314284235,96.0,,314.0,0.24,,0.25,0.4448286345962307,False,,,,,,
HFE_overall,CRP_S,Kruskal-Wallis,3.28,0.1940205226568041,,,,,,,0.4482543109657198,False,1580.0,811.0,78.0,15.59,15.4,19.2
HFE_overall,Krvný obr._DIFF_RET: Hematokrit_HCT,Kruskal-Wallis,3.287,0.19334213964633856,,,,,,,0.4482543109657198,False,103.0,40.0,5.0,0.344,0.361,0.399
HFE_overall,Troponín T hs,Kruskal-Wallis,3.311,0.19103386111418924,,,,,,,0.4482543109657198,False,99.0,68.0,15.0,8.0,8.0,10.0
HFE_overall,GF(S)- MDRD,Kruskal-Wallis,3.333,0.18892684715873975,,,,,,,0.4482543109657198,False,2000.0,1010.0,85.0,1.37,1.35,1.41
HFE_overall,Aktiv.TLy_CD3+HLADR+,Mann-Whitney U,321.0,0.1930896261164593,,,,,,,0.4482543109657198,False,37.0,14.0,,12.0,9.5,
HFE_overall,GF-(S+U)-dospelí,Mann-Whitney U,128.0,0.19649760774793568,,,,,,,0.45009708441407487,False,19.0,18.0,,1.09,1.595,
HFE_C282Y,Cholinesteráza_S,Mann-Whitney U,1087.0,0.1935527212831758,11.0,,160.0,155.2,,124.135,0.453196615687436,False,,,,,,
HFE_overall,Krvný obraz_RET: Erytrocyty_RBC,Mann-Whitney U,48.5,0.20117368183377093,,,,,,,0.45690293840212387,False,18.0,8.0,,3.15,3.765,
HFE_overall,Imunoblot ANA: Mi-2,Mann-Whitney U,3621.0,0.20288099643938218,,,,,,,0.4569084625693649,False,126.0,55.0,,0.0,0.0,
HFE_overall,Imunoblot ANA: PCNA,Mann-Whitney U,3649.5,0.20481992161172313,,,,,,,0.4574311582661817,False,126.0,55.0,,0.0,0.0,
HFE_overall,CCP,Mann-Whitney U,372.5,0.20829587007462946,,,,,,,0.4613000338120771,False,36.0,17.0,,1.935,1.6,
HFE_overall,Imunoblot ANA: dsDNA,Mann-Whitney U,3111.0,0.20999479151146794,,,,,,,0.4613000338120771,False,126.0,55.0,,0.0,0.0,
HFE_C282Y,anti-SLA/LP,Mann-Whitney U,454.5,0.20078263372557115,9.0,,80.0,1.03,,0.865,0.4644610322326465,False,,,,,,
HFE_H63D,Glykémia_3/2,Mann-Whitney U,235.5,0.16548032958771353,12.0,,53.0,8.7,,11.0,0.46651369511429874,False,,,,,,
HFE_H63D,Etanol v sére,Mann-Whitney U,4183.5,0.16418700476317327,57.0,,132.0,0.03,,0.03,0.46651369511429874,False,,,,,,
HFE_C282Y,p-ANCA,Mann-Whitney U,434.0,0.20520239173176846,11.0,,103.0,0.92,,1.24,0.4690340382440422,False,,,,,,
HFE_S65C,ELFO_S: alfa2_globulín,Mann-Whitney U,5820.0,0.2263436091476717,22.0,,459.0,6.66,,6.51,0.4766933586594904,False,,,,,,
HFE_overall,Kortizol_S,Mann-Whitney U,118.5,0.21989248191930633,,,,,,,0.479115326458326,False,29.0,11.0,,313.0,395.0,
HFE_overall,anti TPO_S,Mann-Whitney U,179.0,0.22704375319294956,,,,,,,0.4907074665783103,False,35.0,8.0,,41.55,28.0,
HFE_H63D,Glukóza_ S,Kruskal-Wallis,3.468,0.17655092826068422,636.0,36.0,1976.0,5.5,5.75,5.46,0.4924841683061192,False,,,,,,
HFE_C282Y,AFP_S,Mann-Whitney U,1006.5,0.22067931678007346,15.0,,166.0,2.2,,3.645,0.495192713842444,False,,,,,,
HFE_C282Y,LD_S,Mann-Whitney U,2569.0,0.22180506974192804,20.0,,307.0,3.505,,3.7,0.495192713842444,False,,,,,,
HFE_S65C,Albumín_S,Mann-Whitney U,89220.0,0.2396590147191019,100.0,,1918.0,31.3,,32.7,0.49601238211708687,False,,,,,,
HFE_S65C,Krvný obr._DIFF_5pop: Stredný objem_PLT,Mann-Whitney U,25196.5,0.24622197385668343,46.0,,1218.0,10.8,,10.8,0.49601238211708687,False,,,,,,
HFE_S65C,Bili-celkový_S,Mann-Whitney U,161956.5,0.24419412161635412,129.0,,2673.0,20.0,,24.6,0.49601238211708687,False,,,,,,
HFE_overall,Solub.transf.recep_S,Mann-Whitney U,27.0,0.23154451949510857,,,,,,,0.49643144979751275,False,14.0,6.0,,0.945,1.505,
HFE_H63D,MIA_UJ (album/kreat),Mann-Whitney U,67.0,0.1829004329004329,5.0,,19.0,63.56,,9.61,0.49967644039808984,False,,,,,,
HFE_H63D,Krvný obr._DIFF_RET: Stred. far.konc._HGB,Mann-Whitney U,1383.0,0.18188838950852415,28.0,,118.0,324.5,,334.5,0.49967644039808984,False,,,,,,
HFE_H63D,Močový sediment: Valce,Mann-Whitney U,879.0,0.1891320604515666,25.0,,60.0,1.0,,1.0,0.5011999601966515,False,,,,,,
HFE_H63D,IgG_S,Kruskal-Wallis,3.342,0.18802150936936204,109.0,13.0,356.0,11.4,14.7,11.55,0.5011999601966515,False,,,,,,
HFE_H63D,Lymfocyty,Mann-Whitney U,179.0,0.18813622783020323,12.0,,40.0,22.0,,28.0,0.5011999601966515,False,,,,,,
HFE_H63D,CRP_S,Kruskal-Wallis,3.295,0.19253140700832982,587.0,30.0,1852.0,15.9,9.47,15.4,0.5043450627573529,False,,,,,,
HFE_H63D,Moč chemicky _ úplne: Ketolátky,Mann-Whitney U,31563.0,0.19412526943867925,150.0,,441.0,0.0,,0.0,0.5043450627573529,False,,,,,,
HFE_S65C,Krvný obr._DIFF_5pop: Šírka dist.kriv._RBC,Mann-Whitney U,32245.0,0.2549175072216656,47.0,,1250.0,14.9,,14.55,0.5061933357687359,False,,,,,,
HFE_overall,Reumat. faktor_S,Mann-Whitney U,2835.0,0.24004481001043965,,,,,,,0.5069672651371535,False,123.0,51.0,,10.0,10.0,
HFE_overall,Krvný obr._DIFF_RET: Erytrocyty_RBC,Kruskal-Wallis,2.852,0.2402419502702183,,,,,,,0.5069672651371535,False,103.0,40.0,5.0,3.82,3.925,4.46
HFE_H63D,Kreatinín_UJ (jednor,Mann-Whitney U,46.0,0.1984324853890071,7.0,,20.0,6380.0,,9055.0,0.5105301808552125,False,,,,,,
HFE_S65C,Bili-priamy_S,Mann-Whitney U,156875.0,0.2630948669660521,126.0,,2646.0,8.35,,11.0,0.5150730494124119,False,,,,,,
HFE_C282Y,SLA a LP,Mann-Whitney U,383.5,0.23581838984870174,9.0,,112.0,0.66,,0.81,0.5158038951649234,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_RET: Neutrofily_%,Mann-Whitney U,238.5,0.23641011861725658,5.0,,139.0,62.6,,68.4,0.5158038951649234,False,,,,,,
HFE_S65C,ELFO_S: Albumín,Mann-Whitney U,4342.0,0.2672862640368383,22.0,,459.0,35.015,,37.68,0.5160109819600073,False,,,,,,
HFE_C282Y,"ELFO_S: beta1,2_globulín",Mann-Whitney U,5588.5,0.24091550693320152,29.0,,443.0,8.47,,8.91,0.5197278351817382,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Neutrofily_#,Kruskal-Wallis,3.119,0.21024011001404974,335.0,35.0,925.0,4.39,3.86,4.58,0.5204341699212337,False,,,,,,
HFE_H63D,Transferín_S,Kruskal-Wallis,3.153,0.20674220693453035,118.0,9.0,382.0,2.3,2.5,2.4,0.5204341699212337,False,,,,,,
HFE_H63D,Horčík-S,Mann-Whitney U,13911.0,0.21015380419511964,93.0,,327.0,0.81,,0.84,0.5204341699212337,False,,,,,,
HFE_H63D,Kortizol_S,Mann-Whitney U,200.5,0.21989248191930633,11.0,,29.0,395.0,,313.0,0.5204341699212337,False,,,,,,
HFE_H63D,ELFO_S: gama_globulín,Kruskal-Wallis,3.154,0.20655305981628191,114.0,11.0,351.0,12.655,8.63,12.48,0.5204341699212337,False,,,,,,
HFE_H63D,Krvný obr._DIFF_RET: Monocyty_#,Mann-Whitney U,1349.0,0.21603228486990156,27.0,,118.0,0.48,,0.545,0.5204341699212337,False,,,,,,
HFE_H63D,GF(S)-Cockroft,Mann-Whitney U,208.5,0.2199570831365214,16.0,,21.0,1.13,,0.97,0.5204341699212337,False,,,,,,
HFE_H63D,ABR_artéria: HCO3_B -  stand.,Mann-Whitney U,1964.0,0.21581657656964792,35.0,,130.0,21.4,,21.7,0.5204341699212337,False,,,,,,
HFE_H63D,Krvný obraz_RET: Nezrelé formy RET,Mann-Whitney U,39.0,0.2185292967901663,6.0,,20.0,5.95,,12.8,0.5204341699212337,False,,,,,,
HFE_C282Y,Imunoblot Liver Pro: LC1,Mann-Whitney U,860.0,0.2542711155079518,11.0,,138.0,0.0,,0.0,0.5306527627992037,False,,,,,,
HFE_C282Y,Glykémia_3/2,Mann-Whitney U,232.0,0.25053838493422387,6.0,,60.0,11.7,,10.1,0.5306527627992037,False,,,,,,
HFE_C282Y,Interleukín -6,Mann-Whitney U,360.0,0.2542573616899051,9.0,,104.0,10.1,,26.8,0.5306527627992037,False,,,,,,
HFE_C282Y,TSH_S,Mann-Whitney U,2744.5,0.25972775994660635,20.0,,323.0,1.571,,1.99,0.5362121495671873,False,,,,,,
HFE_H63D,Amoniak_B,Mann-Whitney U,50843.5,0.22918192118809888,181.0,,597.0,58.0,,59.0,0.5374620275650106,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Monocyty_%,Kruskal-Wallis,2.92,0.23225780561629888,335.0,35.0,926.0,8.2,7.3,7.9,0.5398975305992912,False,,,,,,
HFE_H63D,ABR_artéria: BE_B,Mann-Whitney U,1979.0,0.23881958068625975,35.0,,130.0,-3.5,,-3.1,0.5409161442893917,False,,,,,,
HFE_H63D,Moč chemický A: UBG,Mann-Whitney U,574.5,0.23796570270241224,22.0,,45.0,16.0,,16.0,0.5409161442893917,False,,,,,,
HFE_H63D,Močový sediment A: Zhluky leukocytov,Mann-Whitney U,434.0,0.23480108537232758,23.0,,44.0,0.0,,0.0,0.5409161442893917,False,,,,,,
HFE_overall,Krvný obraz_RET: Nezrelé formy RET,Mann-Whitney U,93.0,0.26083115968699494,,,,,,,0.5461152405946457,False,18.0,8.0,,12.8,6.25,
HFE_S65C,Krvný obr._DIFF_RET: Trombocyty_PLT,Mann-Whitney U,609.0,0.2988825687685972,7.0,,141.0,239.0,,197.0,0.5466404876162502,False,,,,,,
HFE_S65C,T4f_S,Mann-Whitney U,1253.0,0.2945320160037731,14.0,,153.0,17.25,,14.7,0.5466404876162502,False,,,,,,
HFE_S65C,Krvný obr._DIFF_RET: Nezrelé formy RET,Mann-Whitney U,605.0,0.29762220255438154,7.0,,140.0,8.8,,7.3,0.5466404876162502,False,,,,,,
HFE_S65C,ELFO_S: gama_globulín,Mann-Whitney U,5662.5,0.28907386137931323,22.0,,454.0,13.795,,12.435,0.5466404876162502,False,,,,,,
HFE_overall,Krvný obraz_RET: Stredný objem_RBC,Mann-Whitney U,51.5,0.26643876894418506,,,,,,,0.5511915336490725,False,18.0,8.0,,94.65,97.85,
HFE_overall,T4f_S,Kruskal-Wallis,2.638,0.2673690275163411,,,,,,,0.5511915336490725,False,105.0,57.0,5.0,14.7,15.1,13.1
HFE_S65C,anti-SLA/LP,Mann-Whitney U,186.0,0.3064092042814821,6.0,,83.0,0.73,,0.88,0.5531283038328053,False,,,,,,
HFE_S65C,Krvný obr._DIFF_RET: Stredný objem_PLT,Mann-Whitney U,330.0,0.31540968997998164,7.0,,122.0,10.6,,11.0,0.5549613532559171,False,,,,,,
HFE_S65C,ALT_S,Mann-Whitney U,203731.0,0.3116797725331135,142.0,,3021.0,0.75,,0.85,0.5549613532559171,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_5pop: Lymfocyty_#,Kruskal-Wallis,2.594,0.273360548864422,105.0,14.0,1178.0,1.41,1.59,1.345,0.5583534615103088,False,,,,,,
HFE_C282Y,Imunoblot Liver Pro: SLA,Mann-Whitney U,806.0,0.2792486954771255,11.0,,138.0,0.0,,0.0,0.5585030034166528,False,,,,,,
HFE_C282Y,c-ANCA,Mann-Whitney U,445.0,0.28216037151778817,11.0,,101.0,1.15,,1.39,0.5585030034166528,False,,,,,,
HFE_C282Y,Imunoblot ANA: PM-Scl,Mann-Whitney U,1204.0,0.27968419450584736,13.0,,171.0,0.0,,0.0,0.5585030034166528,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_5pop: Stredný objem_RBC,Kruskal-Wallis,2.483,0.28900760399674497,105.0,14.0,1178.0,93.5,92.8,92.4,0.5620079331579952,False,,,,,,
HFE_C282Y,CA 19-9_S,Mann-Whitney U,229.5,0.2956395898383204,10.0,,58.0,3.1,,8.95,0.5620079331579952,False,,,,,,
HFE_C282Y,Moč chemicky _ úplne: Bielkoviny,Kruskal-Wallis,2.46,0.292358527776078,28.0,6.0,562.0,0.3,0.3,0.3,0.5620079331579952,False,,,,,,
HFE_C282Y,Krvný obr._DIFF_RET: Retikulocyty_%,Mann-Whitney U,447.0,0.2951048403187374,5.0,,140.0,1.5,,1.25,0.5620079331579952,False,,,,,,
HFE_overall,Imunoblot Liver Pro: gp210,Mann-Whitney U,2055.0,0.27662599911409547,,,,,,,0.5659218913173861,False,102.0,45.0,,0.0,0.23,
HFE_H63D,Haptoglobín_S,Mann-Whitney U,1503.0,0.2528310061325384,33.0,,105.0,0.71,,0.98,0.5677984459756159,False,,,,,,
HFE_C282Y,Imunoblot ANA: PCNA,Mann-Whitney U,1027.0,0.3070429876623678,13.0,,171.0,0.0,,0.0,0.5779632708938688,False,,,,,,
HFE_H63D,NKbb._ CD16+CD56+,Mann-Whitney U,269.5,0.2606003485635292,11.0,,40.0,13.0,,10.5,0.5803285073053381,False,,,,,,
HFE_overall,Lymfocyty,Mann-Whitney U,309.5,0.290447977971793,,,,,,,0.5851256454223625,False,37.0,14.0,,27.0,23.5,
HFE_overall,Imunoblot Liver Pro: LKM1,Mann-Whitney U,2145.5,0.2933262366015188,,,,,,,0.5851256454223625,False,102.0,45.0,,0.0,0.0,
HFE_overall,Moč chemicky _ úplne: pH,Kruskal-Wallis,2.443,0.2947461273582796,,,,,,,0.5851256454223625,False,377.0,212.0,7.0,6.0,5.5,5.0
HFE_overall,Glukóza_ S,Kruskal-Wallis,2.449,0.293888475754594,,,,,,,0.5851256454223625,False,1673.0,890.0,85.0,5.47,5.5,5.3
HFE_C282Y,Močový sediment A: Zhluky leukocytov,Mann-Whitney U,170.5,0.31444606770542805,7.0,,60.0,0.0,,0.0,0.5861518931984678,False,,,,,,
HFE_H63D,Cholest-HDL_S,Kruskal-Wallis,2.594,0.2733234113924756,93.0,6.0,276.0,1.14,1.485,1.18,0.5863677415512898,False,,,,,,
HFE_H63D,Krvný obr._DIFF_RET: Neutrofily_#,Mann-Whitney U,1374.0,0.26708174002265406,27.0,,118.0,3.8,,4.16,0.5863677415512898,False,,,,,,
HFE_H63D,Glykémia_3/3,Mann-Whitney U,197.0,0.2702347044000216,9.0,,57.0,7.4,,10.4,0.5863677415512898,False,,,,,,
HFE_H63D,ABR_artéria: PCO2_B,Mann-Whitney U,2553.0,0.26867326604434183,35.0,,130.0,5.46,,4.805,0.5863677415512898,False,,,,,,
HFE_H63D,CVK_S,Mann-Whitney U,3487.0,0.27437584887683,55.0,,141.0,43.0,,47.6,0.5863677415512898,False,,,,,,
HFE_H63D,ELFO_S: Albumín,Kruskal-Wallis,2.535,0.2816011751611739,115.0,11.0,355.0,36.5,38.13,37.61,0.5881599899957007,False,,,,,,
HFE_H63D,Amyláza_U (jednoráz),Mann-Whitney U,236.0,0.28187290086586414,8.0,,77.0,3.485,,6.14,0.5881599899957007,False,,,,,,
HFE_H63D,anti TG_S,Mann-Whitney U,80.0,0.28181756592491813,7.0,,31.0,16.0,,20.0,0.5881599899957007,False,,,,,,
HFE_H63D,Imunoblot ANA: Histones,Mann-Whitney U,3139.5,0.2969066695644941,42.0,,140.0,0.0,,0.0,0.593292934824422,False,,,,,,
HFE_H63D,T Ly_CD3+_ a.p.,Mann-Whitney U,192.0,0.302243570570932,12.0,,40.0,987.5,,1287.5,0.593292934824422,False,,,,,,
HFE_H63D,Krvný obr._DIFF_RET: Stredný objem_RBC,Mann-Whitney U,1861.5,0.29885128273071404,28.0,,118.0,93.5,,91.8,0.593292934824422,False,,,,,,
HFE_H63D,Krvný obr._DIFF_RET: Trombocyty_PLT,Mann-Whitney U,1442.0,0.29770373548338436,28.0,,118.0,152.0,,203.0,0.593292934824422,False,,,,,,
HFE_H63D,SLA a LP,Mann-Whitney U,1391.5,0.29781759319400636,27.0,,91.0,0.81,,0.76,0.593292934824422,False,,,,,,
HFE_H63D,Krvný obraz: Hematokrit_HCT,Kruskal-Wallis,2.409,0.29986921124565713,461.0,5.0,1482.0,0.353,0.386,0.351,0.593292934824422,False,,,,,,
HFE_H63D,Krvný obraz_RET: Trombocyty_PLT,Mann-Whitney U,77.5,0.3007791620308683,6.0,,20.0,198.0,,132.0,0.593292934824422,False,,,,,,
HFE_H63D,Amoniak_P,Mann-Whitney U,1354.5,0.3011124719846586,42.0,,73.0,49.5,,60.0,0.593292934824422,False,,,,,,
HFE_overall,Krvný obr._DIFF_5pop: Neutrofily_#,Kruskal-Wallis,2.398,0.30147362858828236,,,,,,,0.5940803857474976,False,785.0,461.0,49.0,4.5,4.69,4.2
HFE_overall,C4_S,Mann-Whitney U,4561.5,0.3038129648392913,,,,,,,0.594320252386351,False,137.0,61.0,,0.22,0.21,
HFE_overall,anti TG_S,Mann-Whitney U,148.5,0.3061297845774583,,,,,,,0.5945129149765133,False,30.0,8.0,,26.0,17.0,
HFE_H63D,Krvný obr._DIFF_RET: Neutrofily_%,Mann-Whitney U,1787.0,0.325686987454175,27.0,,118.0,69.9,,67.75,0.5956562011667533,False,,,,,,
HFE_H63D,Krvný obr._DIFF_RET: Hemoglobín_HGB,Mann-Whitney U,1852.0,0.32127662819959446,28.0,,118.0,121.5,,118.0,0.5956562011667533,False,,,,,,
HFE_H63D,alfa1 AT_S,Mann-Whitney U,5356.0,0.32043835774145146,58.0,,202.0,1.33,,1.465,0.5956562011667533,False,,,,,,
HFE_H63D,Bielkovina_ ascites,Mann-Whitney U,685.5,0.326205142499416,24.0,,50.0,18.85,,17.95,0.5956562011667533,False,,,,,,
HFE_H63D,Kys. močová_S,Kruskal-Wallis,2.277,0.3203424772514638,88.0,13.0,242.0,305.0,374.0,310.0,0.5956562011667533,False,,,,,,
HFE_H63D,Kreatinín_U (zbier.),Mann-Whitney U,232.0,0.3246501553842669,17.0,,23.0,6070.0,,5190.0,0.5956562011667533,False,,,,,,
HFE_H63D,Krvný obraz_RET: Stred. far.konc._HGB,Mann-Whitney U,43.0,0.3148884817072183,6.0,,20.0,322.5,,333.5,0.5956562011667533,False,,,,,,
HFE_H63D,Imunoblot ANA: SS-B/La,Mann-Whitney U,3019.5,0.3188508384176407,42.0,,136.0,0.0,,0.0,0.5956562011667533,False,,,,,,
HFE_H63D,Imunoblot ANA: SS-A/Ro60kD,Mann-Whitney U,3044.5,0.3281728504541358,42.0,,140.0,0.0,,0.0,0.5956562011667533,False,,,,,,
HFE_H63D,Reumat. faktor_S,Mann-Whitney U,3016.0,0.306274427553228,41.0,,135.0,10.0,,10.0,0.5956562011667533,False,,,,,,
HFE_H63D,B Ly _CD19+_ a.p.,Mann-Whitney U,175.5,0.31355060019197345,11.0,,40.0,87.0,,141.0,0.5956562011667533,False,,,,,,
HFE_H63D,Pomoc.TLy_CD4+,Mann-Whitney U,262.5,0.3353094573173544,11.0,,40.0,54.0,,49.0,0.5992487684667765,False,,,,,,
HFE_H63D,CYFRA  21-1_S,Mann-Whitney U,86.5,0.33693610000584795,5.0,,27.0,3.62,,1.99,0.5992487684667765,False,,,,,,
HFE_H63D,B Ly_ CD19+,Mann-Whitney U,177.5,0.3346722785995113,11.0,,40.0,8.0,,9.0,0.5992487684667765,False,,,,,,
HFE_H63D,IGG4,Mann-Whitney U,685.0,0.3415730655932028,22.0,,72.0,0.438,,0.629,0.6034457492146582,False,,,,,,
HFE_H63D,anti-LKM-1,Mann-Whitney U,628.0,0.34593742789606674,22.0,,66.0,0.2,,0.26,0.6056492094999238,False,,,,,,
HFE_H63D,Moč chemicky _ úplne: Bielkoviny,Mann-Whitney U,31838.5,0.34739124469429594,150.0,,445.0,0.3,,0.3,0.6056492094999238,False,,,,,,
HFE_C282Y,Etanol v sére,Mann-Whitney U,1478.5,0.329851021119849,15.0,,174.0,0.032,,0.03,0.6089557312981827,False,,,,,,
HFE_overall,NKbb._ CD16+CD56+,Mann-Whitney U,195.0,0.3183300340363534,,,,,,,0.612933136815913,False,37.0,13.0,,11.0,13.0,
HFE_overall,ELFO_S: alfa1_globulín,Kruskal-Wallis,2.278,0.32018895206801423,,,,,,,0.612933136815913,False,310.0,158.0,13.0,2.495,2.48,2.21
HFE_H63D,Krvný obr._DIFF_RET: Lymfocyty_%,Mann-Whitney U,1410.5,0.35525751788603377,27.0,,118.0,19.5,,20.55,0.6153153087568559,False,,,,,,
HFE_H63D,Krvný obr._DIFF_5pop: Leukocyty_WBC,Kruskal-Wallis,2.038,0.3609148738213676,335.0,35.0,927.0,7.0,6.3,7.0,0.617583924652358,False,,,,,,
HFE_H63D,Krvný obraz_RET: Stredný objem_RBC,Mann-Whitney U,75.5,0.36122833328722825,6.0,,20.0,97.85,,94.65,0.617583924652358,False,,,,,,
HFE_overall,Imunoblot Liver Pro: LC1,Mann-Whitney U,2147.5,0.32848810079809443,,,,,,,0.619963457844291,False,102.0,45.0,,0.0,0.0,
HFE_overall,CK-MB_S,Kruskal-Wallis,2.232,0.32760769026512065,,,,,,,0.619963457844291,False,255.0,133.0,14.0,0.376,0.376,0.346
HFE_overall,Ak.TLyCD3+HLADR+_ap,Mann-Whitney U,305.5,0.331557016182243,,,,,,,0.6213795827751127,False,37.0,14.0,,159.0,143.5,
HFE_overall,AMAM2,Mann-Whitney U,1947.5,0.33630909679578,,,,,,,0.6215919858018555,False,88.0,40.0,,1.025,0.58,
HFE_overall,Močový sediment: Erytrocyty,Mann-Whitney U,9992.0,0.33591808614205854,,,,,,,0.6215919858018555,False,196.0,96.0,,2026.0,2026.0,
