Marker,Lab_parameter,Test,Statistika,p_hodnota,n_het,n_hom,n_wt,median_het,median_hom,median_wt,p_FDR,Vyznamne_FDR,n_all_wt,n_any_het,n_any_hom,median_all_wt,median_any_het,median_any_hom
HFE_overall,Prokalcitonín_S,Kruskal-Wallis,19.598,5.552084157536263e-05,,,,,,,0.0009299740963873241,True,292.0,152.0,13.0,0.333,0.243,0.041
HFE_H63D,Kálium-S,Kruskal-Wallis,20.799,3.044930187500393e-05,661.0,36.0,2179.0,4.1,4.38,4.0,0.001008633124609505,True,,,,,,
HFE_S65C,Urea_S,Mann-Whitney U,176784.0,4.518093465882664e-05,150.0,,2936.0,4.2,,5.0,0.0012560299835153806,True,,,,,,
HFE_overall,AST_S,Kruskal-Wallis,18.832,8.143115629443039e-05,,,,,,,0.0012837382286416084,True,2048.0,1042.0,94.0,0.83,0.785,0.545
HFE_C282Y,Krvný obraz: Leukocyty_WBC,Kruskal-Wallis,17.723,0.00014174186667515625,122.0,39.0,1787.0,6.65,8.9,7.2,0.001295925638172857,True,,,,,,
HFE_C282Y,ALP_S,Kruskal-Wallis,17.541,0.0001552291736784666,201.0,39.0,2692.0,1.88,1.34,1.9,0.001354727333921163,True,,,,,,
HFE_H63D,Urea_S,Kruskal-Wallis,19.751,5.1419057455627404e-05,718.0,36.0,2332.0,5.4,5.55,4.8,0.0015140055806379179,True,,,,,,
HFE_overall,Železo_S,Kruskal-Wallis,18.143,0.0001148892385801768,,,,,,,0.001710573107749299,True,415.0,229.0,22.0,17.0,18.5,28.3
HFE_S65C,Krvný obr._DIFF_RET: Eozinofily_#,Mann-Whitney U,913.0,0.00011928351903764297,7.0,,140.0,0.58,,0.09,0.001962406329501932,True,,,,,,
HFE_S65C,Krvný obr._DIFF_RET: Eozinofily_%,Mann-Whitney U,911.5,0.00012706228032746323,7.0,,140.0,10.5,,1.75,0.001962406329501932,True,,,,,,
HFE_S65C,Chloridy-S,Mann-Whitney U,210403.0,0.00012670546822824186,138.0,,2556.0,104.0,,103.0,0.001962406329501932,True,,,,,,
HFE_S65C,Krvný obraz: Stredný objem_RBC,Mann-Whitney U,79815.5,0.00011966336188239961,111.0,,1837.0,90.0,,94.4,0.001962406329501932,True,,,,,,
HFE_C282Y,Krvný obr._DIFF_5pop: Erytrocyty_RBC,Kruskal-Wallis,16.695,0.00023694005239749971,105.0,14.0,1178.0,4.23,4.28,3.9,0.0019779343504486933,True,,,,,,
HFE_overall,Kalcium ionizované_S,Mann-Whitney U,694.0,0.00015942503776265087,,,,,,,0.0022487321115994964,True,108.0,25.0,,1.05,1.14,
HFE_H63D,Krvný obraz: Stred. far.konc._HGB,Kruskal-Wallis,18.259,0.00010842564459701051,461.0,5.0,1482.0,335.0,338.0,332.0,0.0028732795818207785,True,,,,,,
HFE_C282Y,Feritin_S,Kruskal-Wallis,15.472,0.00043689079614932805,53.0,8.0,593.0,215.1,1232.84,233.97,0.00343323154229879,True,,,,,,
HFE_C282Y,Prokalcitonín_S,Kruskal-Wallis,15.426,0.000447035357070155,27.0,5.0,425.0,0.174,0.02,0.299,0.00343323154229879,True,,,,,,
HFE_H63D,Moč chemický A: pH,Mann-Whitney U,802.0,0.00015119044502741463,23.0,,45.0,6.5,,5.5,0.0036423152665695344,True,,,,,,
HFE_H63D,Lipáza_S,Kruskal-Wallis,17.351,0.00017072505263671846,58.0,7.0,168.0,1.84,0.41,3.025,0.003770178245727533,True,,,,,,
HFE_S65C,Prokalcitonín_S,Mann-Whitney U,1960.0,0.0002894228123787763,18.0,,439.0,0.088,,0.309,0.00402297709206499,True,,,,,,
HFE_S65C,Nátrium-S,Mann-Whitney U,232918.0,0.0003356683199924565,145.0,,2732.0,140.0,,139.0,0.00424162695263195,True,,,,,,
HFE_C282Y,Krvný obr._DIFF_5pop: Trombocyty_PLT,Kruskal-Wallis,14.066,0.000882186274942057,105.0,14.0,1178.0,189.0,261.0,219.0,0.006514606338033652,True,,,,,,
HFE_C282Y,Kreatinín_S,Kruskal-Wallis,13.88,0.0009681446429823387,217.0,50.0,2837.0,83.0,74.25,76.9,0.006884584127874409,True,,,,,,
HFE_C282Y,Glukóza_ S,Kruskal-Wallis,13.633,0.0010955663507942876,197.0,49.0,2402.0,5.6,4.89,5.49,0.007512454976875115,True,,,,,,
HFE_overall,Interleukín -6,Kruskal-Wallis,14.754,0.0006256220669714299,,,,,,,0.008383335697417161,True,78.0,29.0,6.0,29.55,26.2,1.75
HFE_S65C,Krvný obr._DIFF_5pop: Bazofily_%,Mann-Whitney U,20928.0,0.0007300778474888217,47.0,,1250.0,0.2,,0.3,0.008456735066745519,True,,,,,,
HFE_H63D,APTT: APTT_ratio,Kruskal-Wallis,15.425,0.00044715367816914854,486.0,16.0,1504.0,1.1,1.01,1.08,0.009115055747294182,True,,,,,,
HFE_S65C,Krvný obr._DIFF_5pop: Lymfocyty_%,Mann-Whitney U,21014.0,0.0009114110064938683,47.0,,1250.0,13.5,,20.5,0.009745086915588284,True,,,,,,
HFE_overall,Kalcium-S,Kruskal-Wallis,14.164,0.0008399483126206597,,,,,,,0.010719340370587466,True,702.0,329.0,35.0,2.135,2.16,2.24
HFE_H63D,Interleukín -6,Kruskal-Wallis,14.944,0.0005689206366445976,20.0,6.0,87.0,29.1,1.75,29.5,0.010768854907915598,True,,,,,,
HFE_H63D,Kreatinín_S,Kruskal-Wallis,14.79,0.0006142299384801031,729.0,36.0,2339.0,78.3,96.3,76.8,0.010851395579815154,True,,,,,,
HFE_overall,APTT: APTT_ratio,Kruskal-Wallis,13.916,0.0009510308333506687,,,,,,,0.01108157666686866,True,1306.0,662.0,38.0,1.08,1.09,1.005
